date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2022-10-05,13.193892478942873,507131000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-06,13.114983558654783,644157000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-07,12.062189102172852,672478000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-10,11.656652450561523,698699000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-11,11.572750091552734,667482000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-12,11.486848831176758,492590000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-13,11.94632053375244,850103000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-14,11.214160919189451,713432000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-17,11.874404907226562,580774000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-18,11.953313827514648,659362000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-19,12.037217140197754,523131000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-20,12.1800537109375,652398000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-21,12.451743125915527,609494000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-24,12.584590911865234,517457000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-25,13.245834350585938,505482000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-26,12.88124942779541,532953000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-27,13.160930633544922,583113000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-28,13.818177223205566,521040000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-31,13.481563568115234,486341000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-01,13.527511596679688,432817000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-02,13.203885078430176,672628000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-03,13.405651092529297,500065000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-04,14.139809608459473,612576000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-07,14.284642219543455,410061000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-08,14.58530044555664,595292000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-09,13.760245323181152,454414000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-10,15.731987953186035,700819000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-11,16.308326721191406,655487000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-14,16.276363372802734,527852000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-15,16.64693832397461,545876000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-16,15.891804695129396,649547000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-17,15.65907096862793,710894000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-18,15.391377449035645,492072000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-21,15.299481391906738,404739000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-22,16.019657135009766,472866000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-23,16.50010871887207,427241000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-25,16.251392364501953,167934000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-28,15.80889892578125,303741000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-29,15.621113777160645,298384000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-11-30,16.90796661376953,565298000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-01,17.119779586791992,470977000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-02,16.861011505126953,371389000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-05,16.595247268676758,352255000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-12-06,15.97280216217041,352694000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
