date,close,volume,pe_ratio,eps,beta
2025-05-13 00:00:00-04:00,129.9209747314453,330430100,46.92903,3.1,2.122
2025-05-14 00:00:00-04:00,135.33059692382812,281180800,46.92903,3.1,2.122
2025-05-15 00:00:00-04:00,134.8206329345703,226632600,46.92903,3.1,2.122
2025-05-16 00:00:00-04:00,135.39059448242188,226542500,46.92903,3.1,2.122
2025-05-19 00:00:00-04:00,135.5605926513672,193154600,46.92903,3.1,2.122
2025-05-20 00:00:00-04:00,134.37066650390625,161514200,46.92903,3.1,2.122
2025-05-21 00:00:00-04:00,131.7908477783203,270608700,46.92903,3.1,2.122
2025-05-22 00:00:00-04:00,132.82078552246094,187344000,46.92903,3.1,2.122
2025-05-23 00:00:00-04:00,131.2808837890625,198821300,46.92903,3.1,2.122
2025-05-27 00:00:00-04:00,135.49058532714844,192953600,46.92903,3.1,2.122
2025-05-28 00:00:00-04:00,134.80064392089844,304021100,46.92903,3.1,2.122
2025-05-29 00:00:00-04:00,139.1803436279297,369241900,46.92903,3.1,2.122
2025-05-30 00:00:00-04:00,135.12062072753906,333170900,46.92903,3.1,2.122
2025-06-02 00:00:00-04:00,137.37046813964844,197663100,46.92903,3.1,2.122
2025-06-03 00:00:00-04:00,141.21018981933594,225578800,46.92903,3.1,2.122
2025-06-04 00:00:00-04:00,141.91014099121094,167120800,46.92903,3.1,2.122
2025-06-05 00:00:00-04:00,139.98028564453125,231397900,46.92903,3.1,2.122
2025-06-06 00:00:00-04:00,141.7101593017578,153986200,46.92903,3.1,2.122
2025-06-09 00:00:00-04:00,142.62010192871094,185114500,46.92903,3.1,2.122
2025-06-10 00:00:00-04:00,143.95001220703125,155881900,46.92903,3.1,2.122
2025-06-11 00:00:00-04:00,142.8300018310547,167694000,46.92903,3.1,2.122
2025-06-12 00:00:00-04:00,145.0,162365000,46.92903,3.1,2.122
2025-06-13 00:00:00-04:00,141.97000122070312,180820600,46.92903,3.1,2.122
2025-06-16 00:00:00-04:00,144.69000244140625,183133700,46.92903,3.1,2.122
2025-06-17 00:00:00-04:00,144.1199951171875,139108000,46.92903,3.1,2.122
2025-06-18 00:00:00-04:00,145.47999572753906,161494100,46.92903,3.1,2.122
